GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jabberpoint,com.nhlstenden.JabberPoint.controller,MenuController,11,215,2,0,4,42,2,8,1,8
Jabberpoint,com.nhlstenden.JabberPoint.controller,KeyController,0,140,1,1,0,21,1,3,0,3
Jabberpoint,com.nhlstenden.JabberPoint.loader,DemoAccessor,0,136,0,0,0,35,0,3,0,3
Jabberpoint,com.nhlstenden.JabberPoint.loader,XMLAccessor,147,241,12,12,33,65,9,10,0,7
Jabberpoint,com.nhlstenden.JabberPoint.loader,Accessor,4,3,0,0,1,1,1,1,1,1
Jabberpoint,com.nhlstenden.JabberPoint.command,NewCommand,0,25,0,0,0,7,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint.command,ExitCommand,0,10,0,0,0,4,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint.command,Command,0,6,0,0,0,3,0,1,0,1
Jabberpoint,com.nhlstenden.JabberPoint.command,GoToCommand,9,43,1,3,3,13,3,4,2,3
Jabberpoint,com.nhlstenden.JabberPoint.command,SaveCommand,14,23,0,0,2,8,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint.command,PrevSlideCommand,0,8,0,0,0,4,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint.command,AboutCommand,6,22,0,0,2,9,1,4,1,4
Jabberpoint,com.nhlstenden.JabberPoint.command,ReloadCommand,0,8,0,0,0,4,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint.command,OpenCommand,35,65,3,3,9,20,4,5,2,4
Jabberpoint,com.nhlstenden.JabberPoint.command,NextSlideCommand,0,8,0,0,0,4,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,SlideItem,4,12,0,0,2,5,1,2,1,2
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,BitMapItemCreator,3,6,0,0,1,1,1,1,1,1
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,Slide,111,72,3,1,18,21,6,9,4,9
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,BitMapItem,100,50,4,0,17,9,6,3,4,3
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,SlideItemCreator,8,21,1,4,4,7,2,3,1,1
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,TextItem,245,32,24,2,48,5,17,4,5,3
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,SlideItemType,5,58,1,3,2,11,2,5,1,4
Jabberpoint,com.nhlstenden.JabberPoint.slideItem,TextItemCreator,3,6,0,0,1,1,1,1,1,1
Jabberpoint,com.nhlstenden.JabberPoint.slideViewer,SlideViewerFrame,0,55,0,0,0,13,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint.slideViewer,SlideViewerFrame.new WindowAdapter() {...},3,6,0,0,2,1,1,1,1,1
Jabberpoint,com.nhlstenden.JabberPoint.slideViewer,SlideViewerComponent,54,77,4,2,9,23,3,6,0,6
Jabberpoint,com.nhlstenden.JabberPoint.style,StyleFactory,204,0,2,0,17,0,4,0,3,0
Jabberpoint,com.nhlstenden.JabberPoint.style,BasicStyle,52,81,2,0,5,28,3,12,2,12
Jabberpoint,com.nhlstenden.JabberPoint.style,LeadingDecorator,3,17,0,0,1,6,1,2,1,2
Jabberpoint,com.nhlstenden.JabberPoint.style,FontDecorator,6,29,0,0,2,8,2,2,2,2
Jabberpoint,com.nhlstenden.JabberPoint.style,ColorDecorator,3,17,0,0,1,6,1,2,1,2
Jabberpoint,com.nhlstenden.JabberPoint.style,IndentDecorator,3,17,0,0,1,6,1,2,1,2
Jabberpoint,com.nhlstenden.JabberPoint.style,StyleDecorator,0,11,0,0,0,4,0,2,0,2
Jabberpoint,com.nhlstenden.JabberPoint,JabberPoint,59,0,2,0,17,0,3,0,2,0
Jabberpoint,com.nhlstenden.JabberPoint.presentation,Presentation,46,142,4,10,11,44,7,21,3,18
